date,count of alternatives
2/2/05,3
3/22/05,3
5/3/05,3
6/30/05,3
8/9/05,3
9/20/05,2
11/1/05,3
12/13/05,2
1/31/06,3
3/28/06,3
5/10/06,3
6/29/06,3
8/8/06,4
9/20/06,3
10/25/06,3
12/12/06,3
1/31/07,3
3/21/07,4
5/9/07,3
6/28/07,3
8/7/07,3
9/18/07,4
10/31/07,3
12/11/07,3
1/30/08,4
3/18/08,4
4/30/08,3
6/25/08,3
8/5/08,2
9/16/08,3
10/29/08,3
12/16/08,4
1/28/09,4
3/18/09,3
4/29/09,3
6/24/09,5
8/12/09,5
9/23/09,3
11/4/09,3
12/16/09,3
1/27/10,3
3/16/10,4
4/28/10,4
6/23/10,3
8/10/10,4
9/21/10,5
11/3/10,4
12/14/10,4
1/26/11,4
3/15/11,3
4/27/11,3
6/22/11,3
8/9/11,4
9/21/11,4
11/2/11,9
12/13/11,4
1/25/12,5
3/13/12,4
4/25/12,5
6/20/12,7
8/1/12,6
9/13/12,7
10/24/12,6
12/12/12,9
1/30/13,3
3/20/13,3
5/1/13,3
6/19/13,3
7/31/13,5
9/18/13,4
10/30/13,5
12/18/13,5
1/29/14,4
3/19/14,3
4/30/14,3
6/18/14,3
7/30/14,3
9/17/14,3
10/29/14,3
12/17/14,5
1/28/15,4
3/18/15,3
4/29/15,3
6/17/15,3
7/29/15,3
9/17/15,3
10/28/15,3
12/16/15,3
1/27/16,3
3/16/16,3
4/27/16,3
6/15/16,4
7/27/16,4
9/21/16,3
11/2/16,3
12/14/16,3
